MODEL									
ICE MODEL									
ISOTROPIC									
KGS									
FLAT EARTH									
1-D									
CONSTANT VELOCITY									
LINE08									
LINE09									
LINE10									
LINE11									
H(KM)	VP(KM/S)	VS(KM/S)	RHO(GM/CC)	QP	QS	ETAP	ETAS	FREFP	FREFS
0.001	3.655	1.8	0.9000  0.100E-02	0.00679	0.002	0	0	1	1
0.002	3.675	1.8	0.9000  0.100E-02	0.00679	0.002	0	0	1	1
0.003	3.695	1.8	0.9000  0.100E-02	0.00679	0.002	0	0	1	1
0.004	3.715	1.8	0.9000  0.100E-02	0.00679	0.002	0	0	1	1
0.005	3.735	1.8	0.9000  0.100E-02	0.00679	0.002	0	0	1	1
0.006	3.755	1.8	0.9000  0.100E-02	0.00679	0.002	0	0	1	1
0.007	3.775	1.79	0.9000  0.100E-02	0.00784	0.002	0	0	1	1
0.008	3.795	1.79	0.9000  0.100E-02	0.00784	0.002	0	0	1	1
0.009	3.78	1.79	0.9000  0.100E-02	0.00784	0.002	0	0	1	1
0.01	3.765	1.79	0.9000  0.100E-02	0.00784	0.002	0	0	1	1
0.012	3.75	1.79	0.9000  0.100E-02	0.00784	0.002	0	0	1	1
0.014	3.735	1.79	0.9000  0.100E-02	0.00784	0.002	0	0	1	1
0.016	3.72	1.79	0.9000  0.100E-02	0.00784	0.002	0	0	1	1
0.018	3.705	1.79	0.9000  0.100E-02	0.00784	0.002	0	0	1	1
0.02	3.69	1.79	0.9000  0.100E-02	0.00784	0.002	0	0	1	1
0.022	3.675	1.79	0.9000  0.100E-02	0.00784	0.002	0	0	1	1
0.024	3.66	1.77	0.9000  0.200E-02	0.00476	0.002	0	0	1	1
0.026	3.645	1.77	0.9000  0.200E-02	0.00476	0.002	0	0	1	1
0.028	3.63	1.77	0.9000  0.200E-02	0.00476	0.002	0	0	1	1
0.03	3.615	1.77	0.9000  0.200E-02	0.00476	0.002	0	0	1	1
0.033	3.600   1.77	0.9000  0.200E-02	0.00476	0.002	0	0	1	1
0.036	3.585	1.77	0.9000  0.200E-02	0.00476	0.002	0	0	1	1
0.039	3.570	1.77	0.9000  0.200E-02	0.00476	0.002	0	0	1	1
0.042	3.555	1.77	0.9000  0.200E-02	0.00476	0.002	0	0	1	1
0.045	3.545	1.77	0.9000  0.200E-02	0.00476	0.002	0	0	1	1
0.048	3.535	1.74	0.9000  0.200E-02	0.00249	0.002	0	0	1	1
0.051	3.525	1.74	0.9000  0.200E-02	0.00249	0.002	0	0	1	1
0.054	3.515	1.74	0.9000  0.200E-02	0.00249	0.002	0	0	1	1
0.057	3.505	1.74	0.9000  0.200E-02	0.00249	0.002	0	0	1	1
0.06	3.495	1.74	0.9000  0.200E-02	0.00249	0.002	0	0	1	1
0.064	3.485	1.74	0.9000  0.200E-02	0.00249	0.002	0	0	1	1
0.068	3.475	1.74	0.9000  0.200E-02	0.00249	0.002	0	0	1	1
0.072	3.465	1.74	0.9000  0.200E-02	0.00249	0.002	0	0	1	1
0.076	3.455	1.74	0.9000  0.200E-02	0.00249	0.002	0	0	1	1
0.08	3.445	1.70	0.9000  0.200E-02	0.0037	0.002	0	0	1	1
0.084	3.440	1.70	0.9000  0.200E-02	0.0037	0.002	0	0	1	1
0.088	3.435	1.70	0.9000  0.200E-02	0.0037	0.002	0	0	1	1
0.092	3.430	1.70	0.9000  0.200E-02	0.0037	0.002	0	0	1	1
0.096	3.425	1.70	0.9000  0.200E-02	0.0037	0.002	0	0	1	1
0.100	3.420	1.70	0.9000  0.200E-02	0.0037	0.002	0	0	1	1
0.105	3.415	1.70	0.9000  0.200E-02	0.0037	0.002	0	0	1	1
0.110	3.410	1.70	0.9000  0.200E-02	0.0037	0.002	0	0	1	1
0.115	3.405	1.70	0.9000  0.200E-02	0.0037	0.002	0	0	1	1
0.120	3.400	1.65	0.9000	0.002500	0.0037  0.002	0	0	1	1
0.125	4.465	1.65	0.9000	0.002500	0.0037  0.002	0	0	1	1
0.130	4.47	1.65	0.9000	0.002500	0.0037  0.002	0	0	1	1
0.135	4.475	1.65	0.9000	0.002500	0.0037  0.002	0	0	1	1
0.140	4.48	1.65	0.9000	0.002500	0.0037  0.002	0	0	1	1
0.145	4.485	1.65	0.9000	0.002500	0.0037  0.002	0	0	1	1
0.150	4.49	1.65	0.9000	0.002500	0.0037  0.002	0	0	1	1
0.155	4.495	1.65	0.9000	0.002500	0.0037  0.002	0	0	1	1
0.160	4.500	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.166	4.500	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.172	4.500	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.178	4.500	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.184	4.50	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.19	4.50	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.20	4.50	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.21	4.50	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.22	4.50	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.23	4.50	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.24	4.50	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.25	4.50	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.26	4.50	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.27	4.50	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.28	4.50	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.29	4.50	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
0.30	4.50	2.50	2.5000	0001E-11	02E-11	0.002	0	0	1	1
