MODEL.01
Model after  1000 iterations
ISOTROPIC
KGS
FLAT EARTH
1-D
CONSTANT VELOCITY
LINE08
LINE09
LINE10
LINE11
      H(KM)   VP(KM/S)   VS(KM/S) RHO(GM/CC)     QP         QS       ETAP       ETAS      FREFP      FREFS    
0.0010 44.8307 22.1187 0.9 0.100E-02 0.679E-02 0.00 0.00 1.00 1.00
0.0020 275.1309 134.5851 0.9 0.100E-02 0.679E-02 0.00 0.00 1.00 1.00
0.0030 300.3272 146.2970 0.9 0.100E-02 0.679E-02 0.00 0.00 1.00 1.00
0.0040 206.9743 100.3585 0.9 0.100E-02 0.679E-02 0.00 0.00 1.00 1.00
0.0050 73.4917 35.3931 0.9 0.100E-02 0.679E-02 0.00 0.00 1.00 1.00
0.0060 16.5669 7.9408 0.9 0.100E-02 0.679E-02 0.00 0.00 1.00 1.00
0.0070 7.2213 3.4269 0.9 0.100E-02 0.784E-02 0.00 0.00 1.00 1.00
0.0080 4.2015 1.9813 0.9 0.100E-02 0.784E-02 0.00 0.00 1.00 1.00
0.0090 2.8972 1.3737 0.9 0.100E-02 0.784E-02 0.00 0.00 1.00 1.00
0.0100 2.9842 1.4189 0.9 0.100E-02 0.784E-02 0.00 0.00 1.00 1.00
0.0120 3.0333 1.4488 0.9 0.100E-02 0.784E-02 0.00 0.00 1.00 1.00
0.0140 2.5453 1.2199 0.9 0.100E-02 0.784E-02 0.00 0.00 1.00 1.00
0.0160 2.9770 1.4323 0.9 0.100E-02 0.784E-02 0.00 0.00 1.00 1.00
0.0180 2.6577 1.2839 0.9 0.100E-02 0.784E-02 0.00 0.00 1.00 1.00
0.0200 2.8103 1.3646 0.9 0.100E-02 0.784E-02 0.00 0.00 1.00 1.00
0.0220 2.7355 1.3326 0.9 0.100E-02 0.784E-02 0.00 0.00 1.00 1.00
0.0240 2.7443 1.3268 0.9 0.200E-02 0.476E-02 0.00 0.00 1.00 1.00
0.0260 2.7017 1.3077 0.9 0.200E-02 0.476E-02 0.00 0.00 1.00 1.00
0.0280 2.7552 1.3416 0.9 0.200E-02 0.476E-02 0.00 0.00 1.00 1.00
0.0300 2.7371 1.3375 0.9 0.200E-02 0.476E-02 0.00 0.00 1.00 1.00
0.0330 2.6110 1.2788 0.9 0.200E-02 0.476E-02 0.00 0.00 1.00 1.00
0.0360 2.7865 1.3760 0.9 0.200E-02 0.476E-02 0.00 0.00 1.00 1.00
0.0390 3.1240 1.5457 0.9 0.200E-02 0.476E-02 0.00 0.00 1.00 1.00
0.0420 3.6684 1.8281 0.9 0.200E-02 0.476E-02 0.00 0.00 1.00 1.00
0.0450 3.8168 1.9041 0.9 0.200E-02 0.476E-02 0.00 0.00 1.00 1.00
0.0480 2.3555 1.1607 0.9 0.200E-02 0.249E-02 0.00 0.00 1.00 1.00
0.0510 2.5251 1.2452 0.9 0.200E-02 0.249E-02 0.00 0.00 1.00 1.00
0.0540 3.9916 1.9768 0.9 0.200E-02 0.249E-02 0.00 0.00 1.00 1.00
0.0570 3.6875 1.8325 0.9 0.200E-02 0.249E-02 0.00 0.00 1.00 1.00
0.0600 3.5056 1.7308 0.9 0.200E-02 0.249E-02 0.00 0.00 1.00 1.00
0.0640 3.4812 1.7380 0.9 0.200E-02 0.249E-02 0.00 0.00 1.00 1.00
0.0680 3.4744 1.7397 0.9 0.200E-02 0.249E-02 0.00 0.00 1.00 1.00
0.0720 3.4650 1.7400 0.9 0.200E-02 0.249E-02 0.00 0.00 1.00 1.00
0.0760 3.4550 1.7400 0.9 0.200E-02 0.249E-02 0.00 0.00 1.00 1.00
0.0800 3.4450 1.7000 0.9 0.200E-02 0.370E-02 0.00 0.00 1.00 1.00
0.0840 3.4400 1.7000 0.9 0.200E-02 0.370E-02 0.00 0.00 1.00 1.00
0.0880 3.4350 1.7000 0.9 0.200E-02 0.370E-02 0.00 0.00 1.00 1.00
0.0920 3.4300 1.7000 0.9 0.200E-02 0.370E-02 0.00 0.00 1.00 1.00
0.0960 3.4250 1.7000 0.9 0.200E-02 0.370E-02 0.00 0.00 1.00 1.00
0.1000 3.4200 1.7000 0.9 0.200E-02 0.370E-02 0.00 0.00 1.00 1.00
0.1050 3.4150 1.7000 0.9 0.200E-02 0.370E-02 0.00 0.00 1.00 1.00
0.1100 3.4099 1.7000 0.9 0.200E-02 0.370E-02 0.00 0.00 1.00 1.00
0.1150 3.4041 1.6994 0.9 0.200E-02 0.370E-02 0.00 0.00 1.00 1.00
0.1200 3.3958 1.6479 0.9 0.250E-02 0.370E-02 0.00 0.00 1.00 1.00
0.1250 4.4526 1.6454 0.9 0.250E-02 0.370E-02 0.00 0.00 1.00 1.00
0.1300 4.4558 1.6448 0.9 0.250E-02 0.370E-02 0.00 0.00 1.00 1.00
0.1350 4.4621 1.6452 0.9 0.250E-02 0.370E-02 0.00 0.00 1.00 1.00
0.1400 4.4661 1.6449 0.9 0.250E-02 0.370E-02 0.00 0.00 1.00 1.00
0.1450 4.4693 1.6443 0.9 0.250E-02 0.370E-02 0.00 0.00 1.00 1.00
0.1500 4.4788 1.6459 0.9 0.250E-02 0.370E-02 0.00 0.00 1.00 1.00
0.1550 4.4923 1.6489 0.9 0.250E-02 0.370E-02 0.00 0.00 1.00 1.00
0.1600 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.1660 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.1720 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.1780 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.1840 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.1900 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.2000 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.2100 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.2200 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.2300 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.2400 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.2500 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.2600 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.2700 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.2800 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.2900 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
0.0000 4.5000 2.5000 0.9 0.100E-10 0.200E-10 0.00 0.00 1.00 1.00
